KT_Old_Accurate	KT_New_Accurate	KF_Old_Accurate	KF_New_Accurate	UT_Old_Accurate	UT_New_Accurate	UF_Old_Accurate	UF_New_Accurate	Imp1_2	Imp2_2	Imp3_2	Imp4_2	Condition	Random	Google	Random2	StartDate	EndDate	Finished	confirmCode	IDInst	Inst_Familiarity	Imp1_1	Imp2_1	Imp3_1	Imp4_1	Plau1_1	Plau2_1	Plau3_1	Plau4_1	True1_1	True2_1	True3_1	True4_1	True5_1	True6_1	True7_1	True8_1	True9_1	True10_1	False1_1	False2_1	False3_1	False4_1	False5_1	False6_1	False7_1	False8_1	False9_1	False10_1	Age	Sex	Education	English	Zipcode	PANAS	PANAS_1	PANAS_2	PANAS_3	PANAS_4	PANAS_5	PANAS_6	PANAS_7	PANAS_8	PANAS_9	PANAS_10	PANAS_11	PANAS_12	PANAS_13	PANAS_14	PANAS_15	PANAS_16	PANAS_17	PANAS_18	PANAS_19	PANAS_20	Inst_Accuracy	Plau1_2	Plau2_2	Plau3_2	Plau4_2	True1_2	True2_2	True3_2	True4_2	True5_2	True6_2	True7_2	True8_2	True9_2	True10_2	False1_2	False2_2	False3_2	False4_2	False5_2	False6_2	False7_2	False8_2	False9_2	False10_2	Comments	Length	LocationLatitude	LocationLongitude	LocationAccuracy
6	6	1	1	3.4	4.8	2.8	2.4	1	1	1	1	1	2	2	2	3/30/2017	3/30/2017	1	483499	1	1	1	1	 	 	2	1	 	 	2	1	3	2	5	 	 	 	 	 	4	2	4	3	5	 	 	 	 	 	38	1	5	1	55431	1	3	1	2	1	2	1	1	1	2	2	1	3	1	2	1	3	4	1	3	1	1	6	6	6	6	4	4	3	4	2	3	6	4	5	6	3	3	2	2	4	4	2	1	2	3	 	4 minutes	44.04789734	-93.22599792	-1
5.5	6	1	1	5	4.6	4.8	4.2	1	1	1	1	1	2	2	2	3/30/2017	3/30/2017	1	805346	1	1	2	2	 	 	2	2	 	 	5	3	4	4	4	 	 	 	 	 	4	2	4	5	5	 	 	 	 	 	29	2	4	1	70520	1	4	1	1	1	2	1	1	1	2	2	1	4	1	2	1	5	5	1	1	1	1	5	6	6	6	6	4	5	6	4	4	6	3	5	5	5	4	5	5	5	5	5	5	2	4	Nope!	About 5 minutes	30.18699646	-92.07730103	-1
5.5	5.5	1	1	4.6	5	4	3.8	1	1	1	1	1	2	2	2	3/30/2017	3/30/2017	1	335515	1	1	1	1	 	 	5	2	 	 	5	5	5	4	5	 	 	 	 	 	5	4	4	4	4	 	 	 	 	 	39	2	5	1	55316	1	3	3	1	3	3	4	4	1	1	2	1	5	4	2	4	4	1	2	1	4	1	5	6	5	6	5	6	4	4	4	6	4	4	5	6	4	4	4	4	4	4	2	5	4	4	 	6 minutes	44.9329071	-93.08999634	-1
5.5	6	1	1	3.8	3.8	3.2	3.8	1	1	1	1	1	2	2	2	3/30/2017	3/30/2017	1	682184	1	1	2	2	 	 	4	2	 	 	4	4	3	3	4	 	 	 	 	 	2	3	4	4	4	 	 	 	 	 	36	2	3	1	75228	1	4	1	2	1	2	2	2	1	3	2	1	4	1	3	2	4	4	2	3	1	1	5	6	6	6	4	4	4	3	4	4	3	4	4	4	3	4	2	3	4	4	4	3	3	5	NO	ABOUT 10 MINUTES	32.81950378	-96.63379669	-1
6	6	1	3.5	4.2	4.8	3.8	3.6	1	1	1	6	1	2	2	2	3/30/2017	3/30/2017	1	396666	1	1	1	1	 	 	1	1	 	 	4	3	4	5	4	 	 	 	 	 	5	4	4	4	4	 	 	 	 	 	28	2	6	1	55106	1	3	1	1	1	3	1	1	1	3	1	1	4	1	2	1	2	4	1	4	1	1	6	6	6	6	5	4	4	4	4	6	6	6	2	4	4	4	3	4	4	4	3	4	4	3	no	9 minutes	41.53109741	-93.57050323	-1
5.5	6	1	1	3.6	3.6	3.6	4.2	1	1	1	1	1	2	2	2	3/30/2017	3/30/2017	1	4753	1	1	1	4	 	 	2	2	 	 	3	3	3	4	5	 	 	 	 	 	2	4	3	5	4	 	 	 	 	 	44	1	5	1	2818	1	3	1	1	1	3	1	1	1	1	3	2	4	1	3	1	4	4	1	3	1	1	5	6	6	6	5	4	2	3	4	4	4	5	4	1	4	4	2	4	4	4	4	5	4	4	n/a	6 minutes	41.87840271	-71.35389709	-1
6	6	1	1	5	3.8	3.6	4.8	1	1	1	1	1	2	2	2	3/30/2017	3/30/2017	1	377024	1	1	2	3	 	 	6	3	 	 	6	4	6	6	6	 	 	 	 	 	3	5	4	5	6	 	 	 	 	 	27	2	5	1	48703	1	4	1	4	1	4	1	1	1	4	4	1	4	1	4	1	4	5	1	4	1	1	6	6	6	6	6	5	5	4	5	5	4	3	6	1	4	4	2	4	4	4	5	6	4	5	 	6 minutes	43.04429626	-83.51920319	-1
5	5	1	1	3.2	4	4.4	3.6	1	1	1	1	1	2	2	2	3/30/2017	3/30/2017	1	451784	1	1	1	2	 	 	2	4	 	 	4	2	5	5	4	 	 	 	 	 	5	2	2	4	2	 	 	 	 	 	54	2	5	1	30115	1	3	1	2	1	3	1	1	1	3	2	 	2	1	2	1	2	 	2	3	1	1	4	6	4	6	4	1	2	5	4	4	4	4	4	4	5	4	5	5	3	4	2	4	4	4	no	5	34.20730591	-84.14019775	-1
5.5	6	1	1	4.2	3.4	3.4	3	1	1	1	1	1	2	2	2	3/30/2017	3/30/2017	1	54849	1	1	1	1	 	 	4	1	 	 	2	3	5	6	5	 	 	 	 	 	2	2	5	6	5	 	 	 	 	 	32	1	5	1	64801	1	4	1	3	1	4	1	1	1	3	4	1	4	1	4	1	4	3	1	3	1	1	5	6	6	6	3	5	4	4	5	4	3	6	2	2	2	6	3	3	3	2	4	1	5	3	 	5 minutes	36.6578064	-94.43190002	-1
5	6	1	1	3.2	3.2	3	2.6	1	1	1	1	1	2	2	2	3/30/2017	3/30/2017	1	759840	1	1	3	3	 	 	3	4	 	 	4	3	3	3	4	 	 	 	 	 	3	3	3	3	3	 	 	 	 	 	35	1	6	1	 	1	3	3	3	3	3	1	2	3	3	2	3	3	1	2	3	3	4	3	4	2	1	5	5	6	6	4	3	3	3	3	4	3	3	3	3	3	3	3	3	3	2	2	3	3	3	 	 	42.88580322	-87.86309814	-1
