Study,Condition,Correct,Warned,News,Statement,Familiarized,Novel,ITF,plausibility,plausibility2
1,S1-Imp,0,0,0,Smoking cigarettes is good for your lungs.,0.024,0.01,0.014,0.017,0.000289
1,S1-Imp,0,0,0,The earth is a perfect square.,0.01,0.016,-0.006,0.013,0.000169
1,S1-Imp,0,0,0,"Across the United States, only a total of 452 people voted in the last election.",0.04,0.022,0.018,0.031,0.000961
1,S1-Imp,0,0,0,A single elephant weighs less than a single ant.,0.034,0.04,-0.006,0.037,0.001369
1,S1-Plaus,1,0,0,More people live in the United States than in Malta.,0.882,0.868,0.014,0.875,0.765625
1,S1-Plaus,1,0,0,Cows are larger than sheep.,0.942,0.948,-0.006,0.945,0.893025
1,S1-Plaus,1,0,0,Coffee is a more popular drink in America than goat milk.,0.916,0.946,-0.03,0.931,0.866761
1,S1-Plaus,1,0,0,There are more than fifty stars in the universe.,0.93,0.968,-0.038,0.949,0.900601
1,S1-True,1,0,0,The thigh bone is the largest bone in the human body.,0.796,0.708,0.088,0.752,0.565504
1,S1-True,1,0,0,Bolivia borders the Pacific Ocean.,0.508,0.482,0.026,0.495,0.245025
1,S1-True,1,0,0,The largest dam in the world is in Pakistan.,0.484,0.388,0.096,0.436,0.190096
1,S1-True,1,0,0,Mexico is the world's largest producer of silver.,0.6,0.492,0.108,0.546,0.298116
1,S1-True,1,0,0,More presidents of the United States were born in Virginia than any other state.,0.69,0.594,0.096,0.642,0.412164
1,S1-True,1,0,0,Helsinki is the capital of Finland.,0.764,0.748,0.016,0.756,0.5715359
1,S1-True,1,0,0,Marconi is name of the inventor of the wireless radio.,0.648,0.6,0.048,0.624,0.389376
1,S1-True,1,0,0,Billy the Kid's last name was Bonney.,0.592,0.51,0.082,0.551,0.303601
1,S1-True,1,0,0,Tiber is the name of the river that runs through Rome.,0.65,0.628,0.022,0.639,0.408321
1,S1-True,1,0,0,Canberra is the capital of Australia.,0.504,0.44,0.064,0.472,0.222784
1,S1-False,0,0,0,George was the name of the goldfish in the story of Pinocchio.,0.544,0.426,0.118,0.485,0.235225
1,S1-False,0,0,0,Johnson was the last name of the man who killed Jesse James.,0.554,0.488,0.066,0.521,0.271441
1,S1-False,0,0,0,Charles II was the first ruler of the Holy Roman Empire.,0.47,0.388,0.082,0.429,0.184041
1,S1-False,0,0,0,"Canopus is the name of the brightest star in the sky, excluding the sun.",0.54,0.426,0.114,0.483,0.233289
1,S1-False,0,0,0,Tirpitz was the name of Germany's largest battleship that was sunk in World War II.,0.6,0.524,0.076,0.562,0.315844
1,S1-False,0,0,0,John Kenneth Galbraith is the name of a well-known lawyer.,0.578,0.492,0.086,0.535,0.286225
1,S1-False,0,0,0,Huxley is the name of the scientist who discovered radium.,0.532,0.48,0.052,0.506,0.256036
1,S1-False,0,0,0,"The Cotton Bowl takes place in Auston, Texas.",0.504,0.454,0.05,0.479,0.229441
1,S1-False,0,0,0,The drachma is the monetary unit for Macedonia.,0.62,0.552,0.068,0.586,0.343396
1,S1-False,0,0,0,Angel Falls is located in Brazil.,0.592,0.558,0.034,0.575,0.330625
2,S2-Fake,0,0,1,Fake1 clinton drunk after election,0.17,0.16666667,0.00333333,0.1683333,0.0283361
2,S2-Fake,0,0,1,Fake2 trump stopped obama from going to castro's funeral,0.10666667,0.14,-0.03333333,0.1233333,0.0152111
2,S2-Fake,0,0,1,Fake3 trump sent plane for marines,0.43,0.40666667,0.02333333,0.4183333,0.1750028
2,S2-Fake,0,0,1,Fake4 pence marriage saved by gay conversion therapy,0.20333333,0.14333333,0.06,0.1733333,0.0300444
2,S2-Fake,0,0,1,Fake5 pennsylvania court remove trump,0.21,0.17333333,0.03666667,0.1916667,0.0367361
2,S2-Fake,0,0,1,Fake6 trump bringing back the draft,0.28333333,0.27666667,0.00666667,0.28,0.0784
2,S2-Fake,0,0,1,Fake7 blm thug shoots himself,0.3,0.22333333,0.07666667,0.2616667,0.0684694
2,S2-Fake,0,0,1,Fake8 brooks says trump should be assassinated,0.37,0.35,0.02,0.36,0.1296
2,S2-Fake,0,0,1,Fake9 eastwood rejects medal of freedom from obama,0.38666667,0.25666667,0.13,0.3216667,0.1034694
2,S2-Fake,0,0,1,Fake10 comey trump sign,0.34,0.26666667,0.07333333,0.3033333,0.0920111
2,S2-Fake,0,0,1,Fake11 palin boycott mall of america because santa is white,0.29666667,0.25333333,0.04333333,0.275,0.075625
2,S2-Fake,0,0,1,Fake12 trump ban gay tv shows,0.19666667,0.11,0.08666667,0.1533333,0.0235111
2,S2-Real,1,0,1,Real1 dems try to prevent defectors to trump foxnews,0.43333333,0.38666667,0.04666667,0.41,0.1681
2,S2-Real,1,0,1,Real2 trump can keep business bloomberg,0.52333333,0.46666667,0.05666667,0.495,0.245025
2,S2-Real,1,0,1,Real3 trump on tech innovation wsj,0.61666667,0.57333333,0.04333333,0.595,0.354025
2,S2-Real,1,0,1,Real4 nc repubs undermine dem gov huffpo,0.59333333,0.58,0.01333333,0.5866666,0.3441778
2,S2-Real,1,0,1,Real5 putin involved in hack guardian,0.59333333,0.55,0.04333333,0.5716667,0.3268028
2,S2-Real,1,0,1,Real6 trump lashes out at vanity fair npr,0.63333333,0.58,0.05333333,0.6066667,0.3680445
2,S2-Real,1,0,1,Real7 companies keeping jobs in us msn,0.58333333,0.52,0.06333333,0.5516667,0.3043361
2,S2-Real,1,0,1,Real8 woman lied about attack washpo,0.58333333,0.56,0.02333333,0.5716667,0.3268028
