ID,response_number,reality,group,reaction_time,confidence,seen,crt1,crt2,crt3,crt4,crt5,crt6,crt7,Media1,Media2,Media3_1,Media3_2,Media3_3,Media3_11,age,sex,education,income,political_position,political_position_TEXT,social_issues,economic_issues,vote,social_circle_2,party,vote_disctrict,forced_district,internet_search,zip,accuracy,direction,loadacc,perceived_accu,crt1_accuracy,crt2_accuracy,crt3_accuracy,crt4_accuracy,crt5_accuracy,crt6_accuracy,crt7_accuracy,crt_score,item
1,1,fake,2,2.875,100,0,4,10,39,2,8,EMILY,0,2,2,2,2,4,2,36,1,2,4,3,,3,1,1,72,1,1,NA,2,91945,1,11,1,0,1,1,1,1,1,1,1,7,6
1,1,real,2,3.967,100,1,4,10,39,2,8,EMILY,0,2,2,2,2,4,2,36,1,2,4,3,,3,1,1,72,1,1,NA,2,91945,1,11,1,1,1,1,1,1,1,1,1,7,1
1,2,fake,2,1.201,100,0,4,10,39,2,8,EMILY,0,2,2,2,2,4,2,36,1,2,4,3,,3,1,1,72,1,1,NA,2,91945,1,11,1,0,1,1,1,1,1,1,1,7,6
1,2,real,2,1.297,100,1,4,10,39,2,8,EMILY,0,2,2,2,2,4,2,36,1,2,4,3,,3,1,1,72,1,1,NA,2,91945,1,11,1,1,1,1,1,1,1,1,1,7,1
1,1,fake,2,3.153,91,0,4,10,39,2,8,EMILY,0,2,2,2,2,4,2,36,1,2,4,3,,3,1,1,72,1,1,NA,2,91945,0,1,0,1,1,1,1,1,1,1,1,7,7
1,1,real,2,2.749,100,0,4,10,39,2,8,EMILY,0,2,2,2,2,4,2,36,1,2,4,3,,3,1,1,72,1,1,NA,2,91945,1,11,0,1,1,1,1,1,1,1,1,7,2
1,2,fake,2,1.799,50,0,4,10,39,2,8,EMILY,0,2,2,2,2,4,2,36,1,2,4,3,,3,1,1,72,1,1,NA,2,91945,1,1,0,0,1,1,1,1,1,1,1,7,7
1,2,real,2,1.274,100,0,4,10,39,2,8,EMILY,0,2,2,2,2,4,2,36,1,2,4,3,,3,1,1,72,1,1,NA,2,91945,1,11,0,1,1,1,1,1,1,1,1,7,2
1,1,fake,2,3.979,81,0,4,10,39,2,8,EMILY,0,2,2,2,2,4,2,36,1,2,4,3,,3,1,1,72,1,1,NA,2,91945,1,11,1,0,1,1,1,1,1,1,1,7,8
1,1,real,2,4.039,100,0,4,10,39,2,8,EMILY,0,2,2,2,2,4,2,36,1,2,4,3,,3,1,1,72,1,1,NA,2,91945,1,11,1,1,1,1,1,1,1,1,1,7,3
1,2,fake,2,1.412,81,0,4,10,39,2,8,EMILY,0,2,2,2,2,4,2,36,1,2,4,3,,3,1,1,72,1,1,NA,2,91945,1,11,1,0,1,1,1,1,1,1,1,7,8
1,2,real,2,1.167,100,0,4,10,39,2,8,EMILY,0,2,2,2,2,4,2,36,1,2,4,3,,3,1,1,72,1,1,NA,2,91945,1,11,1,1,1,1,1,1,1,1,1,7,3
1,1,fake,2,3.041,83,0,4,10,39,2,8,EMILY,0,2,2,2,2,4,2,36,1,2,4,3,,3,1,1,72,1,1,NA,2,91945,1,11,0,0,1,1,1,1,1,1,1,7,9
1,1,real,2,4.344,100,0,4,10,39,2,8,EMILY,0,2,2,2,2,4,2,36,1,2,4,3,,3,1,1,72,1,1,NA,2,91945,0,0,0,0,1,1,1,1,1,1,1,7,4
1,2,fake,2,2.051,100,0,4,10,39,2,8,EMILY,0,2,2,2,2,4,2,36,1,2,4,3,,3,1,1,72,1,1,NA,2,91945,1,11,0,0,1,1,1,1,1,1,1,7,9
1,2,real,2,1.178,100,0,4,10,39,2,8,EMILY,0,2,2,2,2,4,2,36,1,2,4,3,,3,1,1,72,1,1,NA,2,91945,0,0,0,0,1,1,1,1,1,1,1,7,4
